SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-2),UCYN Cells (x106 m-2),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia Cells (x106 m-2),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-2),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-01,9.32,-51.27,83,1.431,,0.1961,30,5.882,,,,Hemiaulus,11.9477,0.0100,,,,0.12 ,6.001,26.35,36.19,,0.047,3.47,13.81,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-02,9.30,-49.60,78,85.399,,22.8017,30,684.050,,,,Hemiaulus,8.7134,0.0100,,,,0.09 ,684.137,25.27,35.98,,0.065,0.22,20.32,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-03,9.58,-47.86,68,232.379,,40.6664,30,1219.991,,,,Hemiaulus,11.8889,0.0100,,,,0.12 ,1220.109,25.35,36.06,,0.057,0.21,20.59,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-04,7.78,-48.58,66,122.569,,17.7112,30,531.335,,,,Hemiaulus,7.7612,0.0100,,,,0.08 ,531.413,25.62,35.93,,0.079,0.23,9.82,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-05,7.27,-47.73,100,10.425,,1.4282,30,42.846,,,,Hemiaulus,2.5802,0.0100,,,,0.03 ,42.872,26.14,36.07,,0.078,1.32,17.42,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-06,7.29,-45.36,100,17.932,,2.4566,30,73.699,,,,Hemiaulus,1.3093,0.0100,,,,0.01 ,73.712,26.56,36.12,,0.059,1.15,19.30,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-07,7.29,-43.33,114,0.122,,0.0167,30,0.502,,,,Hemiaulus,1.5465,0.0100,,,,0.02 ,0.517,26.33,36.14,,0.075,0.55,20.92,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-08,8.15,-41.46,90,18.594,,2.5473,30,76.420,,,,Hemiaulus,5.5055,0.0100,,,,0.06 ,76.475,25.06,35.97,,0.053,0.35,,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-09,9.34,-41.97,78,33.170,,4.3452,30,130.356,,,,Hemiaulus,10.0139,0.0100,,,,0.10 ,130.456,25.78,36.15,,0.094,0.85,17.00,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-10,11.06,-42.32,74,33.786,,4.6286,30,138.859,,,,Hemiaulus,0.0816,0.0100,,,,0.00 ,138.860,24.64,35.70,,0.068,0.25,21.02,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-11,10.08,-44.92,70,368.450,,31.1587,30,934.762,,,,Hemiaulus,32.4798,0.0100,,,,0.32 ,935.086,25.67,36.13,,0.068,0.64,17.11,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-12,10.00,-44.50,80,512.916,,44.1108,30,1323.323,,,,Hemiaulus,26.5019,0.0100,,,,0.27 ,1323.588,25.74,36.03,,0.000,,21.09,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-13,10.92,-46.94,82,26.246,,3.5957,30,107.871,,,,Hemiaulus,0.5096,0.0100,,,,0.01 ,107.877,24.78,35.93,,0.080,0.23,15.90,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-14,9.75,-49.58,70,312.437,,42.8039,30,1284.116,,,,Hemiaulus,0.4927,0.0100,,,,0.00 ,1284.121,25.35,36.06,,0.092,0.27,19.61,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-15,9.08,-51.96,84,12.206,,1.6722,30,50.165,,,,Hemiaulus,30.7855,0.0100,,,,0.31 ,50.473,26.06,36.20,,0.077,0.6,20.89,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-16,9.68,-55.41,100,,,,,,,,,Hemiaulus,0.8509,0.0100,,,,0.01 ,0.009,26.21,36.30,,0.009,0.18,21.02,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-17,11.02,-56.23,110,331.535,,45.4203,30,1362.608,,,,Hemiaulus,12.0632,0.0100,,,,0.12 ,1362.729,26.06,35.90,,0.114,1.33,17.95,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-18,11.50,-55.00,80,439.492,,60.2104,30,1806.313,,,,Hemiaulus,22.4720,0.0100,,,,0.22 ,1806.537,25.94,35.85,,0.000,,17.78,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-19,11.43,-54.97,80,565.468,,77.4691,30,2324.074,,,,Hemiaulus,24.1913,0.0100,,,,0.24 ,2324.316,26.12,35.91,,0.043,1.86,18.97,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-02-20,11.32,-55.04,80,162.545,,22.2687,30,668.060,,,,Hemiaulus,20.5292,0.0100,,,,0.21 ,668.265,25.96,35.82,,,,,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-06-30,29.71,-35.90,148,0.279,,0.0625,30,1.874,,,,Hemiaulus,0.0000,0.0100,,,,0.00 ,1.874,25.22,37.60,,,,12.33,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-09,11.71,-53.83,103,183.531,,41.1109,30,1233.326,,,,Hemiaulus,35.1892,0.0100,,,,0.352 ,1233.678,27.57,34.93,,,,22.68,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-10,11.23,-50.93,95,157.722,,35.3296,30,1059.889,,,,Hemiaulus,0.5541,0.0100,,,,0.01 ,1059.895,27.30,36.15,,,,28.32,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-11,10.64,-48.23,90,225.037,,50.4082,30,1512.247,,,,Hemiaulus,0.0335,0.0100,,,,0.00 ,1512.248,27.13,36.29,,,,22.45,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-13,9.90,-45.48,100,277.425,,62.1432,30,1864.295,,,,Hemiaulus,0.0675,0.0100,,,,0.00 ,1864.295,27.92,35.71,,,,18.87,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-14,9.93,-45.51,80,482.762,,108.1387,30,3244.162,,,,Hemiaulus,0.0000,0.0100,,,,0.00 ,3244.162,27.81,35.78,,,,18.33,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-15,10.40,-45.81,100,282.479,,63.2754,30,1898.261,,,,Hemiaulus,4.1600,0.0100,,,,0.04 ,1898.303,27.73,35.82,,,,17.86,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-20,10.50,-56.62,18,0.063,,0.0142,30,0.425,,,,Hemiaulus,5808.4713,0.0100,,,,58.085 ,58.510,28.27,32.34,,,,25.99,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-21,10.41,-56.53,17,0.493,,0.1103,30,3.310,,,,Hemiaulus,7216.5675,0.0100,,,,72.166 ,75.475,28.48,32.30,,,,18.98,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-23,10.53,-56.82,32,105.926,,23.7274,30,711.822,,,,Hemiaulus,10.3144,0.0100,,,,0.103 ,711.925,28.45,32.11,,,,5.56,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-27,11.81,-53.65,22,7.101,,0.6320,30,18.960,,,,Hemiaulus,1191.9138,0.0100,,,,11.919 ,30.880,28.64,31.08,,,,9.85,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-27,11.33,-52.59,22,,,34.8000,30,1044.000,,,,Hemiaulus,5.766 ,0.0100,,,,0.06 ,1044.058,27.95,35.87,,,,,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-28,9.30,-52.82,24,7.629,,1.3733,30,41.199,,,,Hemiaulus,0.5590,0.0100,,,,0.01 ,41.205,29.16,28.20,,0.045,1.63,11.45,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-29,8.47,-49.91,25,5.619,,0.6462,30,19.385,,,,Hemiaulus,6.1931,0.0100,,,,0.06 ,19.447,28.89,31.50,,0.054,2.17,7.76,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,2001-07-30,6.38,-47.86,30,38.261,,6.9253,30,207.758,,,,Hemiaulus,461.1658,0.0100,,,,4.612 ,212.369,29.26,32.99,,0.078,2.22,10.36,"Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis"
